URL,title,details
/Movie Scripts/Barton Fink Script.html,Barton Fink Script.,"{'writers': ['Joel Coen', 'Ethan Coen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Basic Script.html,Basic Script.,"{'writers': ['James Vanderbilt'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Mystery', 'Thriller'], 'script_date': 'March 2000', 'release_date': None}"
/Movie Scripts/Basic Instinct Script.html,Basic Instinct Script.,"{'writers': ['Joe Eszterhas'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Mystery', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Basquiat Script.html,Basquiat Script.,"{'writers': ['Julian Schnabel'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Batman Script.html,Batman Script.,"{'writers': ['Sam Hamm', 'Warren Skaaren'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Crime', 'Fantasy', 'Thriller'], 'script_date': 'October 1988', 'release_date': None}"
/Movie Scripts/Batman 2 Script.html,Batman 2 Script.,"{'writers': ['Sam Hamm'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Crime', 'Fantasy', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Batman and Robin Script.html,Batman and Robin Script.,"{'writers': ['Bob Kane', 'Akiva Goldsman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Fantasy', 'Thriller'], 'script_date': 'December 1997', 'release_date': None}"
/Movie Scripts/Batman Begins Script.html,Batman Begins Script.,"{'writers': ['David Goyer'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Crime', 'Fantasy', 'Thriller'], 'script_date': None, 'release_date': 'June 2005'}"
/Movie Scripts/Batman Forever Script.html,Batman Forever Script.,"{'writers': ['Akiva Goldsman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Fantasy'], 'script_date': 'June 1994', 'release_date': None}"
/Movie Scripts/Batman Returns Script.html,Batman Returns Script.,"{'writers': ['Daniel Waters', 'Westly Strick'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Thriller'], 'script_date': 'August 1991', 'release_date': None}"
"/Movie Scripts/Battle of Algiers, The Script.html","Battle of Algiers, The Script.","{'writers': ['Gillo Pontecorvo', 'Franco Solinas'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'War'], 'script_date': None, 'release_date': None}"
"/Movie Scripts/Battle of Shaker Heights, The Script.html","Battle of Shaker Heights, The Script.","{'writers': ['Erica Beeney'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Romance', 'Comedy'], 'script_date': None, 'release_date': 'August 2003'}"
/Movie Scripts/Battle: Los Angeles Script.html,Battle: Los Angeles Script.,"{'writers': ['Chris Bertolini'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Sci-Fi'], 'script_date': 'May 2009', 'release_date': 'March 2011'}"
"/Movie Scripts/Beach, The Script.html","Beach, The Script.","{'writers': ['Alex Garland', 'John Hodge'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Adventure', 'Thriller'], 'script_date': 'June 1998', 'release_date': None}"
/Movie Scripts/Bean Script.html,Bean Script.,"{'writers': ['Richard Curtist', 'Robin Briscoll'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Beasts of No Nation Script.html,Beasts of No Nation Script.,"{'writers': ['Cary Joji Fukunaga'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'War'], 'script_date': 'May 2014', 'release_date': 'October 2015'}"
/Movie Scripts/Beasts of the Southern Wild Script.html,Beasts of the Southern Wild Script.,"{'writers': ['Lucy Alibar', 'Benh Zeitlin'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Fantasy'], 'script_date': None, 'release_date': 'June 2012'}"
/Movie Scripts/Beauty and the Beast Script.html,Beauty and the Beast Script.,"{'writers': ['Stephen Chbosky', 'Evan Spiliotopoulos'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Family', 'Fantasy', 'Musical'], 'script_date': 'August 2016', 'release_date': 'March 2017'}"
/Movie Scripts/Beavis and Butt-head Do America Script.html,Beavis and Butt-head Do America Script.,"{'writers': ['Mike Judge', 'Joe Stillman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Animation', 'Comedy'], 'script_date': None, 'release_date': None}"
"/Movie Scripts/Beekeeper, The Script.html","Beekeeper, The Script.","{'writers': ['Kurt Wimmer'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Crime', 'Thriller'], 'script_date': None, 'release_date': 'January 2024'}"
/Movie Scripts/Beginners Script.html,Beginners Script.,"{'writers': ['Mike Mills'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance'], 'script_date': None, 'release_date': 'June 2011'}"
/Movie Scripts/Being Human Script.html,Being Human Script.,"{'writers': ['Bill Forsyth'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Fantasy'], 'script_date': 'January 1992', 'release_date': None}"
/Movie Scripts/Being John Malkovich Script.html,Being John Malkovich Script.,"{'writers': ['Charlie Kaufman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Fantasy'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Being the Ricardos Script.html,Being the Ricardos Script.,"{'writers': ['Aaron Sorkin'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'December 2021'}"
/Movie Scripts/Being There Script.html,Being There Script.,"{'writers': ['Jerry Kosinski', 'Robert C. Jones'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama'], 'script_date': 'January 1979', 'release_date': None}"
"/Movie Scripts/Believer, The Script.html","Believer, The Script.","{'writers': ['Henry Bean', 'Mark Jacobson'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'May 2002'}"
/Movie Scripts/Belle Script.html,Belle Script.,"{'writers': ['Misan Sagay'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Romance'], 'script_date': None, 'release_date': 'June 2014'}"
/Movie Scripts/Beloved Script.html,Beloved Script.,"{'writers': ['Richard LaGravenese', 'Toni Morrisson'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': 'October 1996', 'release_date': 'October 1998'}"
/Movie Scripts/Benny %2526 Joon Script.html,Benny %2526 Joon Script.,"{'writers': ['Barry Berman', 'Lesley McNeil'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Romance'], 'script_date': None, 'release_date': 'April 1993'}"
"/Movie Scripts/Best Exotic Marigold Hotel, The Script.html","Best Exotic Marigold Hotel, The Script.","{'writers': ['Ol Parker'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama'], 'script_date': 'January 2011', 'release_date': 'May 2012'}"
/Movie Scripts/Big Script.html,Big Script.,"{'writers': ['Gary Ross', 'Anne Spielberg'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Family', 'Fantasy'], 'script_date': 'December 1988', 'release_date': None}"
"/Movie Scripts/Big Blue, The Script.html","Big Blue, The Script.","{'writers': ['Luc Besson', 'Robert Garland'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Romance'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Big Eyes Script.html,Big Eyes Script.,"{'writers': ['Scott Alexander', 'Larry Karaszewski'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': None, 'release_date': 'December 2014'}"
/Movie Scripts/Big Fish Script.html,Big Fish Script.,"{'writers': ['Daniel Wallace', 'John August'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Fantasy', 'Comedy', 'Adventure'], 'script_date': None, 'release_date': 'January 2004'}"
"/Movie Scripts/Big Lebowski, The Script.html","Big Lebowski, The Script.","{'writers': ['Joel Coen', 'Ethan Coen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Mystery', 'Thriller'], 'script_date': None, 'release_date': None}"
"/Movie Scripts/Big Sick, The Script.html","Big Sick, The Script.","{'writers': ['Emily V. Gordon', 'Kumail Nanjiani'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance'], 'script_date': None, 'release_date': 'July 2017'}"
"/Movie Scripts/Big White, The Script.html","Big White, The Script.","{'writers': ['Collin Friesen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Crime', 'Drama'], 'script_date': 'March 2004', 'release_date': 'December 2005'}"
/Movie Scripts/Birdman Script.html,Birdman Script.,"{'writers': ['Alejandro G. Inarritu', 'Nicolas Giacobone', 'Alexander Dinelaris Jr.', 'Armando Bo'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance'], 'script_date': None, 'release_date': 'November 2014'}"
"/Movie Scripts/Birds, The Script.html","Birds, The Script.","{'writers': ['Daphne Du Maurier', 'Evan Hunter'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Horror', 'Thriller', 'Romance'], 'script_date': 'March 1962', 'release_date': None}"
/Movie Scripts/Birthday Girl Script.html,Birthday Girl Script.,"{'writers': ['Tom Butterworth', 'Jez Butterworth'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance', 'Crime'], 'script_date': 'January 2001', 'release_date': None}"
"/Movie Scripts/Black Dahlia, The Script.html","Black Dahlia, The Script.","{'writers': ['Josh Friedman', 'James Ellroy'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama', 'Mystery', 'Thriller'], 'script_date': None, 'release_date': 'September 2006'}"
/Movie Scripts/Black Panther Script.html,Black Panther Script.,"{'writers': ['Ryan Coogler', 'Joe Robert Cole'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Sci-Fi'], 'script_date': None, 'release_date': 'February 2018'}"
/Movie Scripts/Black Rain Script.html,Black Rain Script.,"{'writers': ['Craig Bolotin', 'Warren Lewis'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Crime', 'Drama'], 'script_date': 'November 1987', 'release_date': None}"
/Movie Scripts/Black Snake Moan Script.html,Black Snake Moan Script.,"{'writers': ['Craig Brewer'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'March 2007'}"
/Movie Scripts/Black Swan Script.html,Black Swan Script.,"{'writers': ['Mark Heyman', 'Andres Heinz', 'John McLaughlin'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Mystery', 'Thriller'], 'script_date': 'January 2010', 'release_date': 'December 2010'}"
/Movie Scripts/Blackberry Script.html,Blackberry Script.,"{'writers': ['Matt Johnson', 'Matthew Miller', 'Jacquie McNish', 'Sean Silcoff'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Comedy'], 'script_date': None, 'release_date': 'May 2023'}"
/Movie Scripts/BlacKkKlansman Script.html,BlacKkKlansman Script.,"{'writers': ['Charlie Wachtel', 'David Rabinowitz', 'Kevin Willmott', 'Spike Lee'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': None, 'release_date': 'August 2018'}"
/Movie Scripts/Blade Script.html,Blade Script.,"{'writers': ['David S. Goyer'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Horror', 'Sci-Fi'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Blade II Script.html,Blade II Script.,"{'writers': ['David S. Goyer'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Horror', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Blade Runner Script.html,Blade Runner Script.,"{'writers': ['Hampton Fancher', 'David Peoples'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Drama', 'Sci-Fi'], 'script_date': 'February 1981', 'release_date': None}"
/Movie Scripts/Blade: Trinity Script.html,Blade: Trinity Script.,"{'writers': ['David S. Goyer'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Fantasy', 'Horror', 'Thriller'], 'script_date': None, 'release_date': 'December 2004'}"
"/Movie Scripts/Blast from the Past, The Script.html","Blast from the Past, The Script.","{'writers': ['Bill Kelly', 'Hugh Wilson'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance'], 'script_date': None, 'release_date': None}"
"/Movie Scripts/Blind Side, The Script.html","Blind Side, The Script.","{'writers': ['John Lee Hancock', 'Michael Lewis'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': 'April 2009', 'release_date': 'November 2009'}"
"/Movie Scripts/Bling Ring, The Script.html","Bling Ring, The Script.","{'writers': ['Sofia Coppola'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': 'March 2012', 'release_date': 'June 2013'}"
/Movie Scripts/Blink Twice Script.html,Blink Twice Script.,"{'writers': ['Zoe Kravitz', 'E.T. Feigenbaum'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Thriller', 'Mystery'], 'script_date': 'April 2023', 'release_date': 'August 2024'}"
/Movie Scripts/Blitz Script.html,Blitz Script.,"{'writers': ['Steve McQueen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Action', 'War'], 'script_date': 'July 2022', 'release_date': 'November 2024'}"
/Movie Scripts/Blood and Wine Script.html,Blood and Wine Script.,"{'writers': ['Nick Villiers'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Thriller', 'Crime', 'Drama'], 'script_date': 'December 1994', 'release_date': 'February 1997'}"
/Movie Scripts/Blood Simple Script.html,Blood Simple Script.,"{'writers': ['Joel Coen', 'Ethan Coen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Blow Script.html,Blow Script.,"{'writers': ['David McKenna', 'Nick Cassavetes'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': None, 'release_date': 'April 2001'}"
/Movie Scripts/Blue Valentine Script.html,Blue Valentine Script.,"{'writers': ['Derek Cianfrance', 'Cami Delavigne', 'Joey Curtis'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Romance'], 'script_date': 'May 2009', 'release_date': 'December 2010'}"
/Movie Scripts/Blue Velvet Script.html,Blue Velvet Script.,"{'writers': ['David Lynch'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama', 'Mystery', 'Thriller'], 'script_date': None, 'release_date': None}"
"/Movie Scripts/Blues Brothers, The Script.html","Blues Brothers, The Script.","{'writers': ['John Landis', 'Dan Aykroyd'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Crime'], 'script_date': None, 'release_date': None}"
"/Movie Scripts/Bodies, Rest %2526 Motion Script.html","Bodies, Rest %2526 Motion Script.","{'writers': ['Roger Hedden'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Romance'], 'script_date': 'December 1993', 'release_date': None}"
/Movie Scripts/Body Heat Script.html,Body Heat Script.,"{'writers': ['Lawrence Kasdan'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Thriller'], 'script_date': None, 'release_date': None}"
